Date,Month,Year,EMS,Wind,Temp_mean,H2O,Sunspots,Sud_Imp,Sud_Storm,Dst_mean,Dst_var,Dst_group,PC1,PC2
2007-05-22,5,2007,3,5,7.1,24.7,15,No,No,6,49,level_2,5.223467166920457,-2.269580257502996
2007-05-23,5,2007,7,5,9.5,12.9,23,No,No,-31,49,level_3,-7.026647186718841,-4.437323454916419
2007-05-24,5,2007,0,7,11,0,15,No,No,-31,29,level_2,-6.621687327321402,0.8942734545905819
2007-05-25,5,2007,7,6,12.4,0,0,No,No,-27,15,level_2,-5.346651507558791,-0.040975127272922185
2007-05-26,5,2007,2,5,11.5,15.2,0,No,No,-24,20,level_2,-4.45855357451412,-0.5857545205468466
2007-05-27,5,2007,4,5,13,0,0,No,No,-17,10,level_2,-2.298942657373949,-0.330841205560648
2007-05-28,5,2007,4,3,14.7,0,0,No,No,-19,10,level_2,-2.9368478564846443,0.03010332699667384
2007-05-29,5,2007,2,5,12.4,0,12,No,No,-9,7,level_1,0.28519657379399777,-0.19772985586733297
2007-05-30,5,2007,7,3,13.6,0,12,No,No,-7,10,level_1,1.049268702339593,0.39564750946203386
2007-05-31,5,2007,3,4,11.7,0.8,12,No,No,-1,12,level_1,2.857575694900277,0.8221314734106906
2007-06-01,6,2007,11,6,8.1,1.8,34,No,No,-1,20,level_1,2.972619639439548,1.3503238670852111
2007-06-02,6,2007,2,3,7.5,9.9,44,No,No,10,20,level_1,6.409707934509446,-0.05019363319047465
2007-06-03,6,2007,5,5,10.9,0,55,No,No,0,18,level_1,3.326631779386574,-0.72460153784196
2007-06-04,6,2007,9,2,17.7,0,60,No,No,-4,15,level_1,2.0779398423297093,-0.4098096092461142
2007-06-05,6,2007,5,4,19.2,0,62,No,No,-5,14,level_1,1.8145338500783899,0.5197862258628574
2007-06-06,6,2007,6,4,15.2,0.7,58,No,No,-2,11,level_1,2.443020391599317,0.5683505484283531
2007-06-07,6,2007,8,6,13.6,2.2,66,No,No,3,17,level_1,4.138076906011532,1.5798973300473227
2007-06-08,6,2007,2,3,15.1,0,60,No,No,-2,35,level_2,2.709757686760779,-2.2847212666564474
2007-06-09,6,2007,3,3,16,1.6,21,No,No,-12,14,level_1,-0.7118718213599808,-0.23761605857696336
2007-06-10,6,2007,5,5,8.9,5.5,16,No,No,-8,15,level_1,0.686740170712009,-0.6170144247449709
2007-06-11,6,2007,7,5,14.7,0,16,No,No,-12,9,level_1,-0.5099637598806462,-0.45367682114756697
2007-06-12,6,2007,0,3,16.6,0,14,No,No,-9,5,level_1,0.3488532189011398,-0.20898905082574157
2007-06-13,6,2007,7,6,17.4,0.3,14,No,No,-1,19,level_1,2.952876147376368,-1.0056792716733292
2007-06-14,6,2007,8,4,17.3,0.8,0,No,No,-12,22,level_2,-0.6480951352708246,-0.7218480370349873
2007-06-15,6,2007,4,4,18.4,0,0,No,No,-12,19,level_2,-0.6006897525587177,0.7434333447888705
2007-06-16,6,2007,8,5,11.3,27.3,0,No,No,-10,17,level_1,-0.038014656757693666,-0.8681092409230344
2007-06-17,6,2007,7,5,13.1,3.1,0,No,No,-7,15,level_1,1.0639530020733563,0.5894609245263266
2007-06-18,6,2007,9,3,14.4,0,0,No,No,-4,14,level_1,1.9369123624858589,0.9904222572072109
2007-06-19,6,2007,9,3,17.5,0,0,No,No,-6,8,level_1,1.1256756996844204,0.47567113580982623
2007-06-20,6,2007,7,4,17.7,6.7,0,No,No,-4,5,level_1,2.0671318280969544,0.37435468972747593
2007-06-21,6,2007,4,2,15.8,0.6,0,No,No,0,49,level_2,3.494389677985821,-0.6537345220790253
2007-06-22,6,2007,5,4,17.3,0,0,No,No,-12,29,level_2,-0.6781370656779925,1.8816240987908157
2007-06-23,6,2007,7,2,16.7,3.6,0,No,No,-13,12,level_1,-0.9801245908270687,0.4880717354357623
2007-06-24,6,2007,8,4,16.1,0,0,No,No,-5,7,level_1,1.662909121736701,0.26797240022793145
2007-06-25,6,2007,5,4,17.5,0,12,No,No,-7,7,level_1,0.7866608032165873,0.15995352985892655
2007-06-26,6,2007,5,2,20.2,0,14,No,No,0,8,level_1,3.1728296609968254,0.014391922630054912
2007-06-27,6,2007,3,4,14.1,34.6,14,No,No,-2,13,level_1,2.621084298396822,-0.8927591919706682
2007-06-28,6,2007,8,3,17,13.6,16,No,No,0,18,level_1,3.0474847918302244,0.6263532953928133
2007-06-29,6,2007,6,3,19,0,32,No,No,8,43,level_1,5.847545344854513,1.2287848244913062
2007-06-30,6,2007,3,2,20.3,0,32,No,No,-8,15,level_1,0.5093292211901994,0.23318970640718362
2007-07-01,7,2007,3,3,18.2,0.9,30,No,No,-2,14,level_1,2.3538550124630326,-0.2431897775303687
2007-07-02,7,2007,6,3,20.2,0.3,17,No,No,0,10,level_1,3.0439515522089335,0.7335953812867178
2007-07-03,7,2007,2,3,21,8.8,14,No,No,3,29,level_1,4.3624204061802585,-0.9982884310330982
2007-07-04,7,2007,1,2,22.6,0,14,No,No,-6,14,level_1,1.1169318330863738,-0.10710970604099558
2007-07-05,7,2007,8,2,22.3,0,14,No,No,-7,12,level_1,0.7869588560082114,-0.22208782712271094
2007-07-06,7,2007,2,2,20.4,22.7,14,No,No,-4,12,level_1,1.7951089906121978,-0.6004229116095423
2007-07-07,7,2007,4,2,20.8,0,12,No,No,-6,11,level_1,1.1898597124977186,-0.5379166731348772
2007-07-08,7,2007,4,3,21,4.3,16,No,No,-9,11,level_1,0.36951707906332204,0.29938902848701776
2007-07-09,7,2007,9,4,20.1,0,22,No,No,-2,15,level_1,2.5463983433355954,0.6648467293278078
2007-07-10,7,2007,3,2,19.6,0,27,No,No,10,27,level_1,6.193853737137674,2.2060800396560785
2007-07-11,7,2007,4,2,19.3,0,27,No,No,-23,38,level_2,-4.4061612942484265,-0.489644341677546
2007-07-12,7,2007,3,2,20.5,2.2,23,No,No,-18,10,level_2,-2.7033670897587934,0.10019797712493672
2007-07-13,7,2007,3,2,18.9,12.3,41,No,No,-10,32,level_2,-0.12777805386341562,2.845897139330121
2007-07-14,7,2007,2,5,15.9,9.7,42,No,No,-18,41,level_2,-2.677382550171114,-3.734413962764221
